sample_id	group
GCF_000230165N1	Cluster_C
GCF_000339395N1	Cluster_C
GCF_012641605N1	Cluster_C
GCF_015556125N1	Cluster_C
GCF_029071925N1	Cluster_C
GCF_000228805N1	Cluster_C
GCF_000229405N1	Cluster_C
GCF_000230225N1	Cluster_C
GCF_000339715N1	Cluster_C
GCF_000522885N1	Cluster_C
GCF_000228785N1	Cluster_C
GCF_012641765N1	Cluster_C
GCF_000228765N1	Cluster_C
GCF_000229545N1	Cluster_C
GCF_012641975N1	Cluster_C
GCF_000228845N1	Cluster_C
GCF_000228925N1	Cluster_C
GCF_012642015N1	Cluster_C
GCF_000229945N1	Cluster_C
GCF_000229285N1	Cluster_C
GCF_000339335N1	Cluster_C
GCF_012641575N1	Cluster_C
GCF_028326035N1	Cluster_C
GCF_000339355N1	Cluster_C
GCF_000522745N1	Cluster_C
GCF_000339275N1	Cluster_C
GCF_000339235N1	Cluster_C
GCF_000229445N1	Cluster_C
GCF_000229485N1	Cluster_C
GCF_002083175N2	Cluster_C
GCF_024762175N1	Cluster_C
GCF_012642005N1	Cluster_C
GCF_012641545N1	Cluster_C
GCF_000339655N1	Cluster_C
GCF_012642235N1	Cluster_C
GCF_000339175N1	Cluster_C
GCF_000339615N1	Cluster_C
GCF_000229225N1	Cluster_C
GCF_000340155N1	Cluster_C
GCF_000522765N1	Cluster_C
GCF_000347835N1	Cluster_C
GCF_012642085N1	Cluster_C
GCF_000339935N1	Cluster_C
GCF_000522565N1	Cluster_C
GCF_000229005N1	Cluster_C
GCF_011765485N1	Cluster_C
GCF_011765545N1	Cluster_C
GCF_001069835N1	Cluster_C
GCF_001068415N1	Cluster_C
GCF_026782705N1	Cluster_C
GCF_000522645N1	Cluster_C
GCF_000522785N1	Cluster_C
GCF_026782805N1	Cluster_C
GCF_000229365N1	Cluster_C
GCF_000339915N1	Cluster_C
GCF_000229785N1	Cluster_C
GCF_000339835N1	Cluster_C
GCF_000339455N1	Cluster_C
GCF_000228985N1	Cluster_C
GCF_000229085N1	Cluster_C
GCF_000229265N1	Cluster_C
GCF_000229105N1	Cluster_C
GCF_901875565N1	Cluster_C
GCF_012641805N1	Cluster_C
GCF_012641885N1	Cluster_C
GCF_012642145N1	Cluster_C
GCF_026782765N1	Cluster_C
GCF_900636835N1	Cluster_C
GCF_000340095N1	Cluster_D
GCF_000340115N1	Cluster_D
GCF_002179995N1	Cluster_D
GCF_026782825N1	Cluster_D
GCF_000522705N1	Cluster_D
GCF_012642185N1	Cluster_D
GCF_000339435N1	Cluster_D
GCF_000339575N1	Cluster_D
GCF_002213005N1	Cluster_D
GCF_014842815N3	Cluster_D
GCF_002212995N1	Cluster_D
GCF_000229685N1	Cluster_D
GCF_000229345N1	Cluster_D
GCF_012641085N1	Cluster_D
GCF_900459345N1	Cluster_D
GCF_000228965N1	Cluster_D
GCF_000339855N1	Cluster_D
GCF_008831345N1	Cluster_D
GCF_012642405N1	Cluster_D
GCF_018619415N1	Cluster_D
GCF_000229425N1	Cluster_D
GCF_026782785N1	Cluster_D
GCF_012641565N1	Cluster_D
GCF_000339215N1	Cluster_D
GCF_000340075N1	Cluster_D
GCF_000284575N1	Cluster_D
GCF_000339495N1	Cluster_D
GCF_000339415N1	Cluster_D
GCF_002212845N1	Cluster_D
GCF_000339635N1	Cluster_D
GCF_002212925N1	Cluster_D
GCF_000339475N1	Cluster_D
GCF_000347895N1	Cluster_D
GCF_000340055N1	Cluster_D
GCF_021013185N1	Cluster_D
GCF_000339895N1	Cluster_D
GCF_012641845N1	Cluster_D
GCF_026782685N1	Cluster_E
GCF_026782745N1	Cluster_E
GCF_026782885N1	Cluster_E
GCF_000339515N1	Cluster_E
GCF_000339995N1	Cluster_E
GCF_000229845N1	Cluster_E
GCF_002157665N1	Cluster_E
GCF_000229525N1	Cluster_E
GCF_000229905N1	Cluster_E
GCF_000339815N1	Cluster_E
GCF_026782845N1	Cluster_E
GCF_000339875N1	Cluster_E
GCF_000091645N1	Cluster_E
GCF_000339555N1	Cluster_E
GCF_000522805N2	Cluster_E
GCF_000339735N1	Cluster_E
GCF_000228745N1	Cluster_E
GCF_000229745N1	Cluster_E
GCF_000347855N1	Cluster_E
GCF_006386535N1	Cluster_E
GCF_000230045N1	Cluster_E
GCF_000228905N1	Cluster_E
GCF_000229565N1	Cluster_E
GCF_012641625N1	Cluster_E
